Years;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Revenue;1332.9;1437.7;2093.3;2519.4;3161.3;3647.7;4441.5;4857.3;5582;6359.4;6574;7273;7368;7466;6565;7792;9232;10928;13865;14326;17205;21533;22318;23491;25781;28518;28695;33138;37630
Domestic;569.7;527.7;671.9;735.5;955.6;893.2;1001.3;1121;1482.5;1421.5;1267;1234;1326;1365;16328;;;;;;;;;;;;;;
Export;763.2;910;1421.4;1783.9;2205.7;2754.5;3440.2;3736.3;4099.5;4937.9;5307;6039;6042;6101;40753;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vehicle Sales (new cars);21124;19262;32383;36686;43982;48797;54586;54234;66803;76827;88379;96794;97515;98652;75238;81850;96473;116978;143096;162145;189849;225121;237778;246375;256255;280800;272162;297289;313721
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;88379;96794;97515;98652;75238;;;;;;;;;;;;;;
Domestic Porsche;6420;5873;9670;9174;10607;11754;12401;12825;13896;12176;13902;13921;14314;13524;12291;;;;;;;;;;;;;;
Export Porsche;11992;13346;22713;27512;33375;37043;42185;41409;52907;64651;74477;82873;83201;85128;62947;;;;;;;;;;;;;;
Other Models;2712;43;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vehicle Sales Porsche;18412;19219;32383;36686;43982;48797;54586;54234;66803;76827;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
911;17407;19096;16507;17869;23090;23050;26721;32337;27789;23704;27826;34386;37415;31423;27070;19663;20406;17607;26203;30205;30510;31350;32365;32197;35573;34800;34328;39068;40715
928;510;104;;;;;;;;;;;;;;;;;;;;;;;;;;;
944 / 968;495;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Boxster;;19;15876;18817;20892;25747;27865;21897;18411;12988;18009;27906;26146;21747;13140;11717;12348;11280;11740;25704;23597;22663;23620;25114;24750;20467;21784;19250;18392
Carrera GT;;;;;;;;;;222;660;368;11;4;0;;;;;;;;;;;;;;
Panamera;;;;;;;;;;;;;;0;763;20615;23482;28218;27331;22032;24864;17207;15240;27942;38443;32721;25051;31679;33958
Spyder;;;;;;;;;;;;;;;;;;;;;301;566;44;7;;;;;
Macan;;;;;;;;;;;;;;;;;;;;;44636;80216;95642;97202;86031;99944;78124;86529;89767
Cayenne;;;;;;;;;20603;39913;41884;34134;33943;45478;34265;29855;40237;59873;77822;84041;65941;73119;70867;63913;71458;92055;92860;81541;96800
Taycan;;;;;;;;;;;;;;;;;;;;;;;;;;813;20015;39222;34089
Production;20791;20242;32390;38007;45119;48815;55782;55050;73284;81531;90954;102602;101844;105162;76739;;95564;127793;151999;165808;203097;234497;239618;255683;268691;274463;263236;300081;321321
Porsche total;18079;20242;32390;38007;45119;48815;55782;55050;73284;81531;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
911;17293;20132;16488;19120;23056;22950;27325;33061;29564;26650;28619;36504;38959;34303;27776;;19979;21748;28419;29751;31590;31373;31648;33820;36236;37585;28672;38790;41947
928;470;28;;;;;;;;;;;;;;;;;;;;;;;;;;;
944 / 968;316;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carrera GT;;;;;;;;;7;270;715;290;4;3;0;;;;;;;;;;;;;;
Boxster;;82;15902;18887;22063;25865;28457;21989;18788;13462;20321;30680;26712;22356;14403;;12061;12207;13316;28996;23211;21978;24882;26427;23658;19263;22655;18477;18080
Other models;2712;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Panamera;;;;;;;;;;;;;;3;1920;;24096;31834;27056;24798;22383;15055;14218;37605;35493;31192;21832;33250;35241
Spyder;;;;;;;;;;;;;;;;;;;;35;545;375;;;;;;;
Macan;;;;;;;;;;;;;;;;;;;;312;59363;86016;97177;98763;93953;89744;78490;84857;91117
Cayenne;;;;;;;;;24925;41149;41299;35128;36169;48497;32640;;39428;62004;83208;81916;66005;79700;71693;59068;79111;95293;82137;86233;98113
Taycan;;;;;;;;;;;;;;;;;;;;;;;;;240;1386;29450;38474;36823
Employees;6847;7107;7959;8151;8712;9320;9752;10143;10699;11668;11878;11384;11571;12202;375959;;13159;15307;17502;19456;22401;24481;27612;29777;32325;35429;;;
