web-scraper-order,web-scraper-start-url,2017 Porsche Boxster,Price
"1683537037-1","https://www.carsguide.com.au/porsche/boxster/price/1997","null","Price: $16,060 - $20,570"
"1683537037-2","https://www.carsguide.com.au/porsche/boxster/price/1997","null","Price: $12,760 - $16,940"
"1683537040-3","https://www.carsguide.com.au/porsche/boxster/price/1998","null","Price: $16,060 - $20,570"
"1683537040-4","https://www.carsguide.com.au/porsche/boxster/price/1998","null","Price: $12,760 - $16,940"
"1683537042-5","https://www.carsguide.com.au/porsche/boxster/price/1999","null","Price: $12,760 - $16,940"
"1683537042-6","https://www.carsguide.com.au/porsche/boxster/price/1999","null","Price: $15,620 - $20,020"
"1683537042-7","https://www.carsguide.com.au/porsche/boxster/price/1999","null","Price: $18,810 - $23,870"
"1683537042-8","https://www.carsguide.com.au/porsche/boxster/price/1999","null","Price: $17,930 - $22,660"
"1683537046-9","https://www.carsguide.com.au/porsche/boxster/price/2000","null","Price: $15,620 - $20,020"
"1683537046-10","https://www.carsguide.com.au/porsche/boxster/price/2000","null","Price: $14,300 - $18,810"
"1683537046-11","https://www.carsguide.com.au/porsche/boxster/price/2000","null","Price: $18,810 - $23,870"
"1683537046-12","https://www.carsguide.com.au/porsche/boxster/price/2000","null","Price: $17,930 - $22,660"
"1683537049-13","https://www.carsguide.com.au/porsche/boxster/price/2001","null","Price: $15,620 - $20,020"
"1683537049-14","https://www.carsguide.com.au/porsche/boxster/price/2001","null","Price: $14,300 - $18,810"
"1683537049-15","https://www.carsguide.com.au/porsche/boxster/price/2001","null","Price: $18,810 - $23,870"
"1683537049-16","https://www.carsguide.com.au/porsche/boxster/price/2001","null","Price: $17,930 - $22,660"
"1683537052-17","https://www.carsguide.com.au/porsche/boxster/price/2002","null","Price: $15,840 - $20,350"
"1683537052-18","https://www.carsguide.com.au/porsche/boxster/price/2002","null","Price: $14,520 - $19,140"
"1683537052-19","https://www.carsguide.com.au/porsche/boxster/price/2002","null","Price: $19,580 - $24,750"
"1683537052-20","https://www.carsguide.com.au/porsche/boxster/price/2002","null","Price: $18,590 - $23,540"
"1683537055-21","https://www.carsguide.com.au/porsche/boxster/price/2003","null","Price: $15,840 - $20,350"
"1683537055-22","https://www.carsguide.com.au/porsche/boxster/price/2003","null","Price: $14,520 - $19,140"
"1683537055-23","https://www.carsguide.com.au/porsche/boxster/price/2003","null","Price: $22,440 - $27,720"
"1683537055-24","https://www.carsguide.com.au/porsche/boxster/price/2003","null","Price: $20,900 - $26,400"
"1683537058-25","https://www.carsguide.com.au/porsche/boxster/price/2004","null","Price: $15,840 - $20,350"
"1683537058-26","https://www.carsguide.com.au/porsche/boxster/price/2004","null","Price: $14,520 - $19,140"
"1683537058-27","https://www.carsguide.com.au/porsche/boxster/price/2004","null","Price: $22,440 - $27,720"
"1683537058-28","https://www.carsguide.com.au/porsche/boxster/price/2004","null","Price: $24,530 - $30,250"
"1683537058-29","https://www.carsguide.com.au/porsche/boxster/price/2004","null","Price: $20,900 - $26,400"
"1683537058-30","https://www.carsguide.com.au/porsche/boxster/price/2004","null","Price: $23,540 - $29,040"
"1683537061-31","https://www.carsguide.com.au/porsche/boxster/price/2005","null","Price: $15,510 - $19,910"
"1683537061-32","https://www.carsguide.com.au/porsche/boxster/price/2005","null","Price: $14,520 - $19,140"
"1683537061-33","https://www.carsguide.com.au/porsche/boxster/price/2005","null","Price: $22,440 - $27,720"
"1683537061-34","https://www.carsguide.com.au/porsche/boxster/price/2005","null","Price: $24,530 - $30,250"
"1683537061-35","https://www.carsguide.com.au/porsche/boxster/price/2005","null","Price: $20,900 - $26,400"
"1683537061-36","https://www.carsguide.com.au/porsche/boxster/price/2005","null","Price: $23,540 - $29,040"
"1683537063-37","https://www.carsguide.com.au/porsche/boxster/price/2006","null","Price: $15,510 - $19,910"
"1683537063-38","https://www.carsguide.com.au/porsche/boxster/price/2006","null","Price: $14,520 - $19,140"
"1683537063-39","https://www.carsguide.com.au/porsche/boxster/price/2006","null","Price: $19,360 - $24,530"
"1683537063-40","https://www.carsguide.com.au/porsche/boxster/price/2006","null","Price: $18,700 - $23,650"
"1683537067-41","https://www.carsguide.com.au/porsche/boxster/price/2007","null","Price: $20,350 - $25,740"
"1683537067-42","https://www.carsguide.com.au/porsche/boxster/price/2007","null","Price: $16,280 - $20,900"
"1683537067-43","https://www.carsguide.com.au/porsche/boxster/price/2007","null","Price: $20,020 - $25,410"
"1683537067-44","https://www.carsguide.com.au/porsche/boxster/price/2007","null","Price: $19,470 - $24,640"
"1683537071-45","https://www.carsguide.com.au/porsche/boxster/price/2008","null","Price: $20,900 - $26,510"
"1683537071-46","https://www.carsguide.com.au/porsche/boxster/price/2008","null","Price: $20,020 - $25,410"
"1683537071-47","https://www.carsguide.com.au/porsche/boxster/price/2008","null","Price: $27,610 - $33,220"
"1683537071-48","https://www.carsguide.com.au/porsche/boxster/price/2008","null","Price: $20,020 - $25,410"
"1683537071-49","https://www.carsguide.com.au/porsche/boxster/price/2008","null","Price: $26,070 - $32,230"
"1683537071-50","https://www.carsguide.com.au/porsche/boxster/price/2008","null","Price: $19,470 - $24,640"
"1683537074-51","https://www.carsguide.com.au/porsche/boxster/price/2009","null","Price: $22,550 - $27,830"
