web-scraper-order,web-scraper-start-url,2023 Porsche Cayenne,Price
"1683537416-116","https://www.carsguide.com.au/porsche/cayenne/price/2003","null","Price: $12,870 - $17,160"
"1683537416-117","https://www.carsguide.com.au/porsche/cayenne/price/2003","null","Price: $19,800 - $25,080"
"1683537419-118","https://www.carsguide.com.au/porsche/cayenne/price/2004","null","Price: $12,870 - $17,160"
"1683537419-119","https://www.carsguide.com.au/porsche/cayenne/price/2004","null","Price: $14,080 - $18,590"
"1683537419-120","https://www.carsguide.com.au/porsche/cayenne/price/2004","null","Price: $19,800 - $25,080"
"1683537422-121","https://www.carsguide.com.au/porsche/cayenne/price/2005","null","Price: $12,870 - $17,160"
"1683537422-122","https://www.carsguide.com.au/porsche/cayenne/price/2005","null","Price: $14,080 - $18,590"
"1683537422-123","https://www.carsguide.com.au/porsche/cayenne/price/2005","null","Price: $19,800 - $25,080"
"1683537425-124","https://www.carsguide.com.au/porsche/cayenne/price/2006","null","Price: $12,870 - $17,160"
"1683537425-125","https://www.carsguide.com.au/porsche/cayenne/price/2006","null","Price: $14,080 - $18,590"
"1683537425-126","https://www.carsguide.com.au/porsche/cayenne/price/2006","null","Price: $19,800 - $25,080"
"1683537425-127","https://www.carsguide.com.au/porsche/cayenne/price/2006","null","Price: $25,740 - $31,790"
"1683537427-128","https://www.carsguide.com.au/porsche/cayenne/price/2007","null","Price: $15,620 - $20,020"
"1683537427-129","https://www.carsguide.com.au/porsche/cayenne/price/2007","null","Price: $12,650 - $16,830"
"1683537427-130","https://www.carsguide.com.au/porsche/cayenne/price/2007","null","Price: $12,870 - $17,160"
"1683537427-131","https://www.carsguide.com.au/porsche/cayenne/price/2007","null","Price: $14,740 - $19,360"
"1683537427-132","https://www.carsguide.com.au/porsche/cayenne/price/2007","null","Price: $19,800 - $25,080"
"1683537427-133","https://www.carsguide.com.au/porsche/cayenne/price/2007","null","Price: $25,740 - $31,790"
"1683537430-134","https://www.carsguide.com.au/porsche/cayenne/price/2008","null","Price: $17,380 - $22,000"
"1683537430-135","https://www.carsguide.com.au/porsche/cayenne/price/2008","null","Price: $16,610 - $21,230"
"1683537430-136","https://www.carsguide.com.au/porsche/cayenne/price/2008","null","Price: $21,230 - $26,840"
"1683537430-137","https://www.carsguide.com.au/porsche/cayenne/price/2008","null","Price: $24,200 - $29,810"
"1683537433-138","https://www.carsguide.com.au/porsche/cayenne/price/2009","null","Price: $23,760 - $29,370"
"1683537433-139","https://www.carsguide.com.au/porsche/cayenne/price/2009","null","Price: $19,030 - $24,090"
"1683537433-140","https://www.carsguide.com.au/porsche/cayenne/price/2009","null","Price: $18,810 - $23,870"
"1683537433-141","https://www.carsguide.com.au/porsche/cayenne/price/2009","null","Price: $37,730 - $44,330"
"1683537433-142","https://www.carsguide.com.au/porsche/cayenne/price/2009","null","Price: $24,200 - $29,810"
