web-scraper-order,web-scraper-start-url,2018 Porsche Macan,Price
"1683538183-447","https://www.carsguide.com.au/porsche/macan/price/2014","null","Price: $54,120 - $62,260"
"1683538183-448","https://www.carsguide.com.au/porsche/macan/price/2014","null","Price: $48,950 - $56,320"
"1683538183-449","https://www.carsguide.com.au/porsche/macan/price/2014","null","Price: $66,220 - $76,120"
"1683538185-450","https://www.carsguide.com.au/porsche/macan/price/2015","null","Price: $73,260 - $84,260"
"1683538185-451","https://www.carsguide.com.au/porsche/macan/price/2015","null","Price: $57,970 - $66,660"
"1683538185-452","https://www.carsguide.com.au/porsche/macan/price/2015","null","Price: $56,870 - $65,340"
"1683538185-453","https://www.carsguide.com.au/porsche/macan/price/2015","null","Price: $67,210 - $77,220"
"1683538188-454","https://www.carsguide.com.au/porsche/macan/price/2016","null","Price: $78,430 - $90,200"
"1683538188-455","https://www.carsguide.com.au/porsche/macan/price/2016","null","Price: $63,030 - $72,490"
"1683538188-456","https://www.carsguide.com.au/porsche/macan/price/2016","null","Price: $59,950 - $68,970"
"1683538188-457","https://www.carsguide.com.au/porsche/macan/price/2016","null","Price: $74,690 - $85,910"
"1683538191-458","https://www.carsguide.com.au/porsche/macan/price/2017","null","Price: $60,500 - $69,520"
"1683538191-459","https://www.carsguide.com.au/porsche/macan/price/2017","null","Price: $86,020 - $98,890"
"1683538191-460","https://www.carsguide.com.au/porsche/macan/price/2017","null","Price: $72,490 - $83,380"
"1683538191-461","https://www.carsguide.com.au/porsche/macan/price/2017","null","Price: $72,380 - $83,160"
"1683538191-462","https://www.carsguide.com.au/porsche/macan/price/2017","null","Price: $89,100 - $102,410"
"1683538191-463","https://www.carsguide.com.au/porsche/macan/price/2017","null","Price: $83,710 - $96,250"
"1683538193-464","https://www.carsguide.com.au/porsche/macan/price/2018","(base)","Price: $64,020 - $73,590"
"1683538193-465","https://www.carsguide.com.au/porsche/macan/price/2018","GTS","Price: $90,970 - $104,610"
"1683538193-466","https://www.carsguide.com.au/porsche/macan/price/2018","S","Price: $76,670 - $88,110"
"1683538193-467","https://www.carsguide.com.au/porsche/macan/price/2018","S Diesel","Price: $76,560 - $88,000"
"1683538193-468","https://www.carsguide.com.au/porsche/macan/price/2018","Turbo","Price: $95,370 - $109,670"
"1683538193-469","https://www.carsguide.com.au/porsche/macan/price/2018","Turbo (perf Pack)","Price: $94,050 - $108,130"
"1683538195-470","https://www.carsguide.com.au/porsche/macan/price/2019","null","Price: $67,870 - $77,990"
"1683538195-471","https://www.carsguide.com.au/porsche/macan/price/2019","null","Price: $96,360 - $110,770"
"1683538195-472","https://www.carsguide.com.au/porsche/macan/price/2019","null","Price: $81,290 - $93,390"
"1683538195-473","https://www.carsguide.com.au/porsche/macan/price/2019","null","Price: $101,090 - $116,160"
"1683538195-474","https://www.carsguide.com.au/porsche/macan/price/2019","null","Price: $104,830 - $120,450"
"1683538198-475","https://www.carsguide.com.au/porsche/macan/price/2020","null","Price: $75,790 - $87,120"
"1683538198-476","https://www.carsguide.com.au/porsche/macan/price/2020","null","Price: $119,020 - $136,840"
"1683538198-477","https://www.carsguide.com.au/porsche/macan/price/2020","null","Price: $130,570 - $150,040"
"1683538198-478","https://www.carsguide.com.au/porsche/macan/price/2020","null","Price: $90,640 - $104,170"
"1683538201-479","https://www.carsguide.com.au/porsche/macan/price/2021","null","Price: $91,740 - $105,490"
"1683538201-480","https://www.carsguide.com.au/porsche/macan/price/2021","null","Price: $122,210 - $140,470"
"1683538201-481","https://www.carsguide.com.au/porsche/macan/price/2021","null","Price: $130,570 - $150,040"
"1683538201-482","https://www.carsguide.com.au/porsche/macan/price/2021","null","Price: $109,780 - $126,170"
"1683538204-483","https://www.carsguide.com.au/porsche/macan/price/2022","null","Price: $94,710 - $108,900"
"1683538204-484","https://www.carsguide.com.au/porsche/macan/price/2022","null","Price: $83,600 - $96,140"
"1683538204-485","https://www.carsguide.com.au/porsche/macan/price/2022","null","Price: $144,980 - $166,650"
"1683538204-486","https://www.carsguide.com.au/porsche/macan/price/2022","null","Price: $118,140 - $135,850"
"1683538206-487","https://www.carsguide.com.au/porsche/macan/price/2023","null","Price: $90,100"
"1683538206-488","https://www.carsguide.com.au/porsche/macan/price/2023","null","Price: $93,500"
"1683538206-489","https://www.carsguide.com.au/porsche/macan/price/2023","null","Price: $138,100"
"1683538206-490","https://www.carsguide.com.au/porsche/macan/price/2023","null","Price: $113,200"
