Rank;Vehicle;Driver;Time;PS/KG
2;Porsche 911 GT2 RS Manthey Racing;Lars Kern;6:38.84;0.490
5;Porsche 911 GT3 RS (992);Jörg Bergmeister;6:44.85;0.354
11;Porsche 911 GT3 RS Manthey Racing;Kevin Estre;6:54.34;0.346
13;Porsche 911 GT3 (992);Lars Kern;6:55.34;0.351
14;Porsche 918 Spyder;Marc Lieb;6:57.00;0.532
16;911 GT3 Manthey Performance K..;Christian Gebhardt;6:59.42;0.346
22;Porsche 911 GT3 (992);Christian Gebhardt;7:04.74;0.351
31;Porsche 911 GT3;unknown;7:12.70;0.339
32;Porsche 918 Spyder;Horst von Saurma;7:13.00;0.532
41;Porsche 911 Turbo S (992);Christian Gebhardt;7:17.00;0.394
42;Porsche 911 Turbo S;Christian Gebhardt;7:17.11;0.362
43;Porsche 911 GT2 RS (997);Timo Kluck;7:18.00;0.443
48;Porsche 911 GT3 RS (991);unknown;7:20.00;0.341
