Rank;Vehicle;Driver;Time;PS / KG
1;Mercedes - AMG One;Maro Engel;6:30.70;1063 / 1695
2;Porsche 911 GT2 RS Manthey Racing;Lars Kern;6:38.84;700 / 1430
3;McLaren P1 LM;Kenny Brack;6:43.20;1000 / 1390
4;AMG GT Black Series;Maro Engel;6:43.62;730 / 1637
5;Porsche 911 GT3 RS (992);Jörg Bergmeister;6:44.85;525 / 1482
6;Lamborghini Aventador SVJ;Marco Mapelli;6:44.97;770 / 1718
7;Radical SR8 RX;unknown;6:45.50;436 / 680
8;Radical SR8LM;Michael Vergers;6:48.00;455 / 650
9;Huracán Performante;Marco Mapelli;6:52.01;640 / 1556
10;AMG GT Black Series;unknown;6:52.54;730 / 1637
11;Porsche 911 GT3 RS Manthey Racing;Kevin Estre;6:54.34;- / -
12;Radical SR8;Michael Vergers;6:55.00;363 / 650
13;Porsche 911 GT3 (992);Lars Kern;6:55.34;510 / 1455
14;Porsche 918 Spyder;Marc Lieb;6:57.00;887 / 1668
15;Modified Subaru WRX STI;unknown;6:57.50;- / -
16;911 GT3 Manthey Performance K..;Christian Gebhardt;6:59.42;510 / 1473
17;Aventador LP750-4 SV;unknown;6:59.73;750 / 1699
18;Ferrari 488 Pista;Christian Gebhardt;7:00.03;720 / 1476
19;Dodge Viper ACR (Mk V);Lance Arnold;7:01.30;654 / 1539
20;Porsche 718 Cayman GT4 RS;Jörg Bergmeister;7:04.51;500 / 1451
21;Mercedes-Benz AMG GT R Pro;Maro Engel;7:04.63;585 / 1637
22;Porsche 911 GT3 (992);Christian Gebhardt;7:04.74;510 / 1455
23;Nio EP9;unknown;7:05.12;1360 / 1735
24;Mercedes-Benz AMG GT R Pro;Christian Gebhardt;7:07.00;585 / 1637
25;McLaren 720S;Christian Gebhardt;7:08.00;720 / 1428
26;Modified Nissan GT-R Nismo (R35);Michael Krumm;7:08.68;- / -
27;McLaren 600LT;Christian Gebhardt;7:08.82;600 / 1404
28;Mercedes-Benz AMG GT R;Christian Gebhardt;7:10.92;585 / 1635
29;Gumpert Apollo Sport;Florian Gruber;7:11.57;700 / 1200
30;Dodge Viper SRT-10 ACR;Dominik Farnbacher;7:12.13;608 / 1544
31;Porsche 911 GT3;unknown;7:12.70;500 / 1475
32;Porsche 918 Spyder;Horst von Saurma;7:13.00;887 / 1668
33;Chevrolet Corvette Z06 (C7);Christian Gebhardt;7:13.90;659 / 1610
34;McLaren 720S;unknown;7:14.00;720 / 1428
35;Lexus LFA Nurburgring Package;Akira Iida;7:14.64;570 / 1509
36;Donkervoort D8 RS;Michael Duechting;7:14.89;350 / 600
37;BMW M4 CSL;Jörg Weidinger;7:15.67;551 / 1619
38;Porsche 718 Cayman GT4 RS;Christian Gebhardt;7:16.00;500 / 1451
39;Camaro ZL1 1LE Package;unknown;7:16.04;659 / 1747
40;BMW M4 CSL;Christian Gebhardt;7:17.00;551 / 1619
41;Porsche 911 Turbo S (992);Christian Gebhardt;7:17.00;650 / 1650
42;Porsche 911 Turbo S;Christian Gebhardt;7:17.11;580 / 1603
43;Porsche 911 GT2 RS (997);Timo Kluck;7:18.00;620 / 1401
44;Jaguar XE SV Project 8;unknown;7:18.36;600 / 1801
45;Radical SR3 Turbo;Phil Bennett;7:19.00;320 / 500
46;Nissan GT-R (R35 550 PS);Toshio Suzuki;7:19.10;550 / 1758
47;Chevrolet Corvette ZR1;Jim Mero;7:19.63;647 / 1526
48;Porsche 911 GT3 RS (991);unknown;7:20.00;500 / 1467
49;Ferrari 488 GTB;unknown;7:21.00;670 / 1546
50;Ferrari 488 GTB;Christian Gebhardt;7:21.63;670 / 1546
51;Corvette Z06 Z07 Package;Jim Mero;7:22.68;512 / 1394
52;Mercedes-Benz AMG GT 63 S;Demian Schaffert;7:23.01;639 / 2112
53;Porsche 911 Carrera GTS;Christian Gebhardt;7:23.77;450 / 1514
54;Gumpert Apollo Sport;unknown;7:24.00;700 / 1200
55;Porsche 911 GT2 RS (997);Horst von Saurma;7:24.00;620 / 1401
56;Nissan GT-R (R35 530 PS);Toshio Suzuki;7:24.22;530 / 1760
57;Maserati MC12;Marc Basseng;7:24.29;632 / 1335
58;Pagani Zonda F Clubsport;Marc Basseng;7:24.65;650 / 1230
59;KTM X-Bow R;Christopher Haase;7:25.00;304 / 862
60;Lamborghini Aventador LP700-4;Horst von Saurma;7:25.00;700 / 1761
61;Porsche 911 GT3 (991);Timo Kluck;7:25.00;476 / 1451
62;Porsche Panamera Turbo S;Lars Kern;7:25.04;630 / 2124
63;Ferrari Enzo;Marc Basseng;7:25.21;660 / 1446
64;SLS AMG Black Series;Markus Hofbauer;7:25.67;631 / 1639
65;KTM X-BOW RR;unknown;7:25.72;365 / 810
66;Porsche 911 Turbo S (991);unknown;7:26.00;560 / 1593
67;Nissan GT-R (R35);Toshio Suzuki;7:26.70;480 / 1765
68;Porsche 911 GT3 RS 4.0 (997);unknown;7:27.00;500 / 1396
69;Ferrari 812 Superfast;Christian Gebhardt;7:27.48;800 / 1728
70;BMW M4 GTS;unknown;7:27.88;500 / 1600
71;Lamborghini Huracan LP 610-4;Christian Gebhardt;7:28.00;610 / 1547
72;McLaren MP4-12C;Horst von Saurma;7:28.00;600 / 1458
73;Porsche 911 GT3 RS (991);Christian Gebhardt;7:28.00;500 / 1467
74;AMG GT 63 S E Performance;Christian Gebhardt;7:28.00;843 / 2371
75;BMW M4 Competition xDrive;Christian Gebhardt;7:28.57;517 / 1772
76;Porsche Carrera GT;Marc Basseng;7:28.71;612 / 1420
77;Porsche 911 Turbo (991);unknown;7:29.00;520 / 1609
78;BMW M5 CS;Christian Gebhardt;7:29.57;635 / 1851
79;Chevrolet Camaro ZL1 (Mk VI);unknown;7:29.60;659 / 1771
80;Chevrolet Corvette Stingray;Oliver Gavin;7:29.90;502 / 1646
81;Mercedes-Benz SLS AMG GT;unknown;7:30.00;591 / 1663
82;Porsche 911 Carrera S (992);Christian Gebhardt;7:30.00;450 / 1553
83;BMW M4 Competition Coupe;Christian Gebhardt;7:30.79;510 / 1725
84;Porsche 911 GT2 (997);Walter Rohrl;7:31.00;530 / 1481
85;Porsche 911 Turbo S;Walter Rohrl;7:32.00;530 / 1591
86;Audi R8 V10 Plus (Mk II);unknown;7:32.00;610 / 1637
87;Alfa Romeo Giulia QV;Fabio Francia;7:32.00;510 / 1709
88;Porsche 718 Cayman GT4;Christian Gebhardt;7:32.00;420 / 1452
89;Porsche 911 GT3 (991);unknown;7:32.20;476 / 1451
90;BMW M8 Competition (G15);Christian Gebhardt;7:32.79;625 / 1893
91;Pagani Zonda F;unknown;7:33.00;602 / 1371
92;Porsche 911 GT3 RS;unknown;7:33.00;450 / 1400
93;Ferrari F12 Berlinetta;Horst von Saurma;7:33.00;740 / 1762
94;Mercedes-Benz AMG GT S;Markus Hofbauer;7:33.04;510 / 1656
95;Koenigsegg CCX;Marc Basseng;7:33.55;806 / 1456
96;Porsche Cayenne Turbo GT;unknown;7:33.95;640 / 2247
97;Audi R8 GT (Mk I);Horst von Saurma;7:34.00;560 / 1563
98;Koenigsegg CCR;unknown;7:34.00;806 / 1394
99;Porsche 911 Carrera S;Christian Gebhardt;7:34.00;420 / 1489
100;Porsche 911 Turbo S (991);Horst von Saurma;7:34.00;560 / 1593
101;Nissan GT-R Spec-V (R35);unknown;7:34.46;486 / 1680
102;SLS AMG Black Series;unknown;7:35.00;631 / 1639
103;RUF RT12;unknown;7:35.00;650 / 1573
104;McLaren 650 S Spider;unknown;7:35.00;650 / 1484
105;Mercedes-Benz AMG GT S;unknown;7:35.00;510 / 1656
106;Audi RS 3 Limousine (8Y);unknown;7:35.52;400 / 1602
107;Honda NSX (Mk II);Christian Gebhardt;7:36.00;581 / 1770
108;BMW M5 Competition (F90);Christian Gebhardt;7:36.00;626 / 1902
109;Nissan GT-R (R35 530 PS);unknown;7:36.00;530 / 1760
110;Chevrolet Camaro Z/28;unknown;7:37.47;507 / 1702
